Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdvenNewWebsite\AdvenNewWebsite.csproj,File,AdvenNewWebsite\AdvenNewWebsite.csproj,,,Microsoft.EntityFrameworkCore 6.0.36,,,,,"Microsoft.EntityFrameworkCore, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdvenNewWebsite\AdvenNewWebsite.csproj,File,AdvenNewWebsite\AdvenNewWebsite.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdvenNewWebsite\AdvenNewWebsite.csproj,File,AdvenNewWebsite\AdvenNewWebsite.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.36,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdvenNewWebsite\AdvenNewWebsite.csproj,File,AdvenNewWebsite\AdvenNewWebsite.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdvenNewWebsite\AdvenNewWebsite.csproj,File,AdvenNewWebsite\AdvenNewWebsite.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 6.0.18,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 6.0.18  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AdvenNewWebsite\AdvenNewWebsite.csproj,File,AdvenNewWebsite\AdvenNewWebsite.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdvenNewWebsite\AdvenNewWebsite.csproj,File,AdvenNewWebsite\Program.cs,10,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BusinessLayer\BusinessLayer.csproj,File,BusinessLayer\BusinessLayer.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DataAccessLayer\DataAccessLayer.csproj,File,DataAccessLayer\DataAccessLayer.csproj,,,Microsoft.EntityFrameworkCore 6.0.36,,,,,"Microsoft.EntityFrameworkCore, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DataAccessLayer\DataAccessLayer.csproj,File,DataAccessLayer\DataAccessLayer.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DataAccessLayer\DataAccessLayer.csproj,File,DataAccessLayer\DataAccessLayer.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.36,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DataAccessLayer\DataAccessLayer.csproj,File,DataAccessLayer\DataAccessLayer.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DataAccessLayer\DataAccessLayer.csproj,File,DataAccessLayer\DataAccessLayer.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EntityLayer\EntityLayer.csproj,File,EntityLayer\EntityLayer.csproj,,,Microsoft.EntityFrameworkCore 6.0.36,,,,,"Microsoft.EntityFrameworkCore, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EntityLayer\EntityLayer.csproj,File,EntityLayer\EntityLayer.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EntityLayer\EntityLayer.csproj,File,EntityLayer\EntityLayer.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.36,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EntityLayer\EntityLayer.csproj,File,EntityLayer\EntityLayer.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.36  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EntityLayer\EntityLayer.csproj,File,EntityLayer\EntityLayer.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
